Date,Not indexed,Indexed,Impressions
2026-07-12,,,21
2026-07-13,,,11
2026-07-14,,,22
2026-07-15,,,5
2026-07-16,,,33
2026-07-17,,,7
2026-07-18,,,13
2026-07-19,,,13
2026-07-20,,,44
2026-07-21,,,109
2026-07-22,,,108
2026-07-23,22,70,48
2026-07-24,23,72,25
2026-07-25,23,72,33
2026-07-26,23,72,30
2026-07-27,23,72,26
2026-07-28,23,72,37
2026-07-29,23,72,33
2026-07-30,23,72,16
2026-07-31,23,72,13
2026-08-01,23,72,32
2026-08-02,23,72,30
2026-08-03,23,72,55
2026-08-04,23,72,32
2026-08-05,27,147,27
2026-08-06,27,147,28
2026-08-07,21,158,16
2026-08-08,21,158,49
2026-08-09,21,158,147
2026-08-10,25,161,82
2026-08-11,25,161,69
2026-08-12,25,161,351
2026-08-13,25,161,115
2026-08-14,25,161,57
2026-08-15,25,161,93
2026-08-16,25,161,125
2026-08-17,25,161,69
2026-08-18,25,161,98
2026-08-19,25,161,111
2026-08-20,25,161,87
2026-08-21,20,174,115
2026-08-22,20,174,108
2026-08-23,20,174,109
2026-08-24,20,174,93
2026-08-25,20,174,101
2026-08-26,20,174,134
2026-08-27,20,174,104
